[2025-12-11 11:58:18:570] P9078_AxisSetParameter[1-4] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:571] P9078_AxisSetRealParameter[1-4] PN: 1206, PV: 10000.000000, rc: 0
[2025-12-11 11:58:18:572] P9078_AxisSetRealParameter[1-4] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:573] P9078_AxisSetRealParameter[1-4] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:575] P9078_AxisSetBacklash[1-4], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:576] P9078_AxisSetMaxVelocity[1-4], vel: 50.000000, rc: 0
[2025-12-11 11:58:18:577] P9078_AxisSetMaxAcceleration[1-4], acc: 80.000000, rc: 0
[2025-12-11 11:58:18:578] P9078_AxisSetParameter[1-4] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:579] P9078_AxisSetMinPositionLimit[1-4], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:580] P9078_AxisSetMaxPositionLimit[1-4], limit: 8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:601] P9078_AxisSetParameter[1-5] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:602] P9078_AxisSetRealParameter[1-5] PN: 1206, PV: 10000.000000, rc: 0
[2025-12-11 11:58:18:603] P9078_AxisSetRealParameter[1-5] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:604] P9078_AxisSetRealParameter[1-5] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:605] P9078_AxisSetBacklash[1-5], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:606] P9078_AxisSetMaxVelocity[1-5], vel: 50.000000, rc: 0
[2025-12-11 11:58:18:607] P9078_AxisSetMaxAcceleration[1-5], acc: 80.000000, rc: 0
[2025-12-11 11:58:18:608] P9078_AxisSetParameter[1-5] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:609] P9078_AxisSetMinPositionLimit[1-5], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:610] P9078_AxisSetMaxPositionLimit[1-5], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:13:37:981] dev[0] RT task period, min: 998.8 us, max: 1097.8 us, mean: 1048.6 us
[2025-12-11 12:13:38:79] P9078_MotionDeinit[0]


[2025-12-11 12:13:38:79] dev[1] RT task period, min: 996.9 us, max: 1108.5 us, mean: 1048.6 us
[2025-12-11 12:13:38:175] P9078_MotionDeinit[1]


[2025-12-11 12:17:22:750] P9078_AxisSetParameter[0-0] PN: 1202, PV: 1, rc: 0
[2025-12-11 12:17:22:751] P9078_AxisSetParameter[0-0] PN: 1205, PV: 0, rc: 0
[2025-12-11 12:17:22:752] P9078_AxisSetParameter[0-0] PN: 1200, PV: 0, rc: 0
[2025-12-11 12:17:22:752] P9078_TrajCombineAxes[0] 0x0, rc: 0
[2025-12-11 12:17:22:762] P9078_AxisSetParameter[1-0] PN: 1202, PV: 1, rc: 0
[2025-12-11 12:17:22:763] P9078_AxisSetParameter[1-0] PN: 1205, PV: 0, rc: 0
[2025-12-11 12:17:22:764] P9078_AxisSetParameter[1-0] PN: 1200, PV: 0, rc: 0
[2025-12-11 12:17:22:764] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-12-11 12:17:22:777] P9078_AxisSetParameter[0-0] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:778] P9078_AxisSetRealParameter[0-0] PN: 1206, PV: 1000.000000, rc: 0
[2025-12-11 12:17:22:779] P9078_AxisSetRealParameter[0-0] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:780] P9078_AxisSetRealParameter[0-0] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:781] P9078_AxisSetBacklash[0-0], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:782] P9078_AxisSetMaxVelocity[0-0], vel: 50.000000, rc: 0
[2025-12-11 12:17:22:783] P9078_AxisSetMaxAcceleration[0-0], acc: 120.000000, rc: 0
[2025-12-11 12:17:22:784] P9078_AxisSetParameter[0-0] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:785] P9078_AxisSetMinPositionLimit[0-0], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:786] P9078_AxisSetMaxPositionLimit[0-0], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:811] P9078_AxisSetParameter[0-1] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:812] P9078_AxisSetRealParameter[0-1] PN: 1206, PV: 1000.000000, rc: 0
[2025-12-11 12:17:22:813] P9078_AxisSetRealParameter[0-1] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:814] P9078_AxisSetRealParameter[0-1] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:815] P9078_AxisSetBacklash[0-1], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:816] P9078_AxisSetMaxVelocity[0-1], vel: 50.000000, rc: 0
[2025-12-11 12:17:22:817] P9078_AxisSetMaxAcceleration[0-1], acc: 120.000000, rc: 0
[2025-12-11 12:17:22:818] P9078_AxisSetParameter[0-1] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:819] P9078_AxisSetMinPositionLimit[0-1], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:820] P9078_AxisSetMaxPositionLimit[0-1], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:843] P9078_AxisSetParameter[0-2] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:844] P9078_AxisSetRealParameter[0-2] PN: 1206, PV: 2000.000000, rc: 0
[2025-12-11 12:17:22:844] P9078_AxisSetRealParameter[0-2] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:846] P9078_AxisSetRealParameter[0-2] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:847] P9078_AxisSetBacklash[0-2], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:848] P9078_AxisSetMaxVelocity[0-2], vel: 10.000000, rc: 0
[2025-12-11 12:17:22:849] P9078_AxisSetMaxAcceleration[0-2], acc: 100.000000, rc: 0
[2025-12-11 12:17:22:850] P9078_AxisSetParameter[0-2] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:851] P9078_AxisSetMinPositionLimit[0-2], limit: -8000000000000000.000000, rc: 0
