[2025-11-26 14:18:26:544] P9078_AxisSetBacklash[1-3], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:545] P9078_AxisSetMaxVelocity[1-3], vel: 50.000000, rc: 0
[2025-11-26 14:18:26:546] P9078_AxisSetMaxAcceleration[1-3], acc: 80.000000, rc: 0
[2025-11-26 14:18:26:547] P9078_AxisSetParameter[1-3] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:548] P9078_AxisSetMinPositionLimit[1-3], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:549] P9078_AxisSetMaxPositionLimit[1-3], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:572] P9078_AxisSetParameter[1-4] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:573] P9078_AxisSetRealParameter[1-4] PN: 1206, PV: 10000.000000, rc: 0
[2025-11-26 14:18:26:574] P9078_AxisSetRealParameter[1-4] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:575] P9078_AxisSetRealParameter[1-4] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:576] P9078_AxisSetBacklash[1-4], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:577] P9078_AxisSetMaxVelocity[1-4], vel: 50.000000, rc: 0
[2025-11-26 14:18:26:578] P9078_AxisSetMaxAcceleration[1-4], acc: 80.000000, rc: 0
[2025-11-26 14:18:26:579] P9078_AxisSetParameter[1-4] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:580] P9078_AxisSetMinPositionLimit[1-4], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:581] P9078_AxisSetMaxPositionLimit[1-4], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:603] P9078_AxisSetParameter[1-5] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:604] P9078_AxisSetRealParameter[1-5] PN: 1206, PV: 10000.000000, rc: 0
[2025-11-26 14:18:26:605] P9078_AxisSetRealParameter[1-5] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:606] P9078_AxisSetRealParameter[1-5] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:607] P9078_AxisSetBacklash[1-5], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:608] P9078_AxisSetMaxVelocity[1-5], vel: 50.000000, rc: 0
[2025-11-26 14:18:26:610] P9078_AxisSetMaxAcceleration[1-5], acc: 80.000000, rc: 0
[2025-11-26 14:18:26:611] P9078_AxisSetParameter[1-5] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:612] P9078_AxisSetMinPositionLimit[1-5], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:613] P9078_AxisSetMaxPositionLimit[1-5], limit: 8000000000000000.000000, rc: 0
